dataset,config,n,labeled_rows,MRR@10,nDCG@10,context_precision,faithfulness_proxy,answer_relevance_proxy,parsability_rate,validator_pass_rate,fallback_rate,retrieval_latency_ms_avg,generation_latency_ms_avg,total_tokens
custom,A,120,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0
custom,B,120,120,0.981944,0.565577,0.951667,0.0,0.0,0.0,0.0,0.0,1212.782,0.0,0
custom,C,120,120,0.966667,0.472126,0.87,0.0,0.0,0.0,0.0,0.0,736.123,0.0,0
custom,D,120,120,1.0,0.625058,0.985,0.0,0.0,0.0,0.0,0.0,627.896,0.0,0
custom,E,120,120,0.980833,0.486809,0.921667,0.0,0.0,0.0,0.0,0.0,705.737,0.0,0
custom,F,120,120,1.0,0.625058,0.985,0.0,0.0,0.0,0.0,0.0,654.912,0.0,0
cs1qa,A,437,437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0
cs1qa,B,437,437,0.929252,0.612964,0.829291,0.0,0.0,0.0,0.0,0.0,836.248,0.0,0
cs1qa,C,437,437,0.802441,0.444013,0.669108,0.0,0.0,0.0,0.0,0.0,812.89,0.0,0
cs1qa,D,437,437,0.85286,0.46826,0.732723,0.0,0.0,0.0,0.0,0.0,598.924,0.0,0
cs1qa,E,437,437,0.66415,0.301664,0.513043,0.0,0.0,0.0,0.0,0.0,708.587,0.0,0
cs1qa,F,437,437,0.85286,0.46826,0.732723,0.0,0.0,0.0,0.0,0.0,400.033,0.0,0
mbpp,A,500,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0
mbpp,B,500,500,0.991,0.570296,0.9444,0.0,0.0,0.0,0.0,0.0,544.565,0.0,0
mbpp,C,500,500,0.963667,0.485326,0.876,0.0,0.0,0.0,0.0,0.0,487.629,0.0,0
mbpp,D,500,500,1.0,0.598161,0.9996,0.0,0.0,0.0,0.0,0.0,392.206,0.0,0
mbpp,E,500,500,0.997,0.460146,0.9568,0.0,0.0,0.0,0.0,0.0,411.125,0.0,0
mbpp,F,500,500,1.0,0.598161,0.9996,0.0,0.0,0.0,0.0,0.0,382.157,0.0,0
staqc,A,500,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0
staqc,B,500,500,0.9455,0.592938,0.868,0.0,0.0,0.0,0.0,0.0,468.468,0.0,0
staqc,C,500,500,0.866767,0.446173,0.7404,0.0,0.0,0.0,0.0,0.0,473.804,0.0,0
staqc,D,500,500,0.901167,0.501126,0.8228,0.0,0.0,0.0,0.0,0.0,376.718,0.0,0
staqc,E,500,500,0.793,0.346611,0.666,0.0,0.0,0.0,0.0,0.0,611.742,0.0,0
staqc,F,500,500,0.901167,0.501126,0.8228,0.0,0.0,0.0,0.0,0.0,642.049,0.0,0
